City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Port Blair,IN,11.6667,92.75,75.24,94,40,2.3,mist
251,Pevek,RU,69.7008,170.3133,-23.4,100,88,6.06,overcast clouds
252,Juarez,MX,31.7333,-106.4833,40.86,40,0,1.01,clear sky
253,Uinskoye,RU,56.8817,56.5813,27.99,93,100,2.68,snow
254,Ranibennur,IN,14.6167,75.6167,62.04,80,57,2.37,broken clouds
255,Chifeng,CN,42.2683,118.9636,4.89,59,0,8.68,clear sky
256,Tura,IN,25.5198,90.2201,51.17,96,70,3.69,broken clouds
257,Leningradskiy,RU,69.3833,178.4167,-13.14,90,56,9.19,broken clouds
258,Saint George,US,37.1041,-113.5841,50.59,23,0,0.0,clear sky
259,Pringsewu,ID,-5.3582,104.9744,73.0,99,99,2.75,light rain
260,Codrington,AU,-38.2667,141.9667,66.02,61,90,14.38,overcast clouds
261,Nador,MA,35.174,-2.9287,62.85,42,0,8.05,clear sky
262,Rovaniemi,FI,66.5,25.7167,20.61,86,100,12.66,light snow
263,Lokosovo,RU,61.1333,74.8167,19.56,96,100,6.78,overcast clouds
264,Faanui,PF,-16.4833,-151.75,80.92,74,27,14.16,light rain
265,Dalumangcob,PH,7.2167,124.3,74.57,88,100,6.13,overcast clouds
266,Kislyakovskaya,RU,46.4417,39.675,32.63,95,98,10.18,snow
267,Faya,SA,18.3851,42.4509,55.92,88,31,6.13,scattered clouds
268,Mount Isa,AU,-20.7333,139.5,80.37,29,31,10.36,scattered clouds
269,Taminango,CO,1.5749,-77.2867,67.21,82,75,5.75,light rain
270,Santa Cruz,BO,-17.8,-63.1667,80.65,78,40,9.22,scattered clouds
271,Sur,OM,22.5667,59.5289,69.51,61,2,6.87,clear sky
272,Saryozek,KZ,44.3583,77.9753,18.25,76,3,4.34,clear sky
273,Maarianhamina,AX,60.0973,19.9348,33.66,100,100,3.44,light rain
274,Ipil,PH,7.75,122.5167,74.52,90,91,4.07,overcast clouds
275,Roald,NO,62.5833,6.1333,39.34,70,75,31.07,broken clouds
276,Mana,GF,5.6592,-53.7767,75.96,89,100,7.4,overcast clouds
277,Makokou,GA,0.5738,12.8642,70.99,86,88,1.97,overcast clouds
278,Chapais,CA,49.7834,-74.8492,-7.82,94,97,4.16,overcast clouds
279,Accra,GH,5.556,-0.1969,82.81,78,11,6.91,few clouds
280,Manfredonia,IT,41.6259,15.9094,50.83,81,20,6.91,few clouds
281,Santiago Del Estero,AR,-27.7951,-64.2615,76.26,75,96,8.23,overcast clouds
282,Tomaszow Lubelski,PL,50.4477,23.4162,34.81,88,100,12.41,overcast clouds
283,Wenling,CN,28.3669,121.36,36.91,75,1,8.79,clear sky
284,Jining,CN,35.405,116.5814,30.0,1,0,2.77,clear sky
285,Hamilton,US,39.1834,-84.5333,24.37,85,100,1.01,overcast clouds
286,Rudbar,AF,30.15,62.6,53.65,23,0,7.63,clear sky
287,Lincoln Village,US,39.9548,-83.1307,21.51,86,100,3.0,overcast clouds
288,Nokaneng,BW,-19.6667,22.2667,71.08,78,98,5.39,overcast clouds
289,Akdepe,TM,42.0551,59.3788,41.0,54,70,10.69,broken clouds
290,Padang,ID,-0.9492,100.3543,73.45,90,100,3.94,moderate rain
291,Deputatskiy,RU,69.3,139.9,-30.24,100,70,2.44,broken clouds
292,Luau,AO,-10.7073,22.2247,60.8,99,68,2.86,broken clouds
293,Tigre,AR,-34.426,-58.5796,77.22,86,0,3.44,clear sky
294,Ayr,GB,55.4627,-4.6339,40.98,75,75,14.97,broken clouds
295,Kijang,KR,35.2442,129.2139,24.53,54,6,13.49,clear sky
296,Abha,SA,18.2164,42.5053,55.65,82,0,17.27,clear sky
297,Sola,VU,-13.8833,167.55,81.88,78,100,23.64,overcast clouds
298,Yanam,IN,16.7333,82.2167,66.92,98,30,2.68,scattered clouds
299,Verkhnevilyuysk,RU,63.4453,120.3167,-22.13,99,68,1.28,broken clouds
300,Aden,YE,12.7794,45.0367,76.53,53,40,1.12,scattered clouds
301,Kumluca,TR,36.3703,30.2869,44.67,48,57,8.28,broken clouds
302,Tilichiki,RU,60.4667,166.1,-4.74,77,97,9.04,overcast clouds
303,Kalas,IN,18.1667,74.8,62.83,39,65,5.17,broken clouds
304,Normandin,CA,48.8333,-72.5321,-1.89,59,94,5.75,overcast clouds
305,Sciacca,IT,37.5082,13.0881,56.1,86,2,5.93,clear sky
306,General Roca,AR,-39.0333,-67.5833,73.8,52,79,24.23,broken clouds
307,Kajaani,FI,64.2273,27.7285,21.25,79,100,21.85,light snow
308,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,100,24.76,light rain
309,Harper,LR,4.375,-7.7169,79.92,81,31,7.85,scattered clouds
310,Calapi,PH,11.9435,125.0206,71.8,98,100,6.06,overcast clouds
311,Belyy Yar,RU,53.6039,91.3903,-16.71,76,95,2.24,mist
312,Cabedelo,BR,-6.9811,-34.8339,81.27,70,19,12.21,few clouds
